Section,Question,Answer
Currency Exchange & Remittance,What is the procedure for currency exchange at KB Kookmin Bank?,"To exchange foreign currency, bring your ID (passport or Alien Registration Card) to a branch. KB offers various currencies and favorable exchange rates."
Currency Exchange & Remittance,What information is needed to receive an international transfer to my KB account?,"You need the recipient's name, KB account number, SWIFT code (BKKBKRSEXXX), and KB branch address."
Credit & Debit Cards,Can foreigners get a credit card from KB Kookmin Bank?,"Yes, foreigners can apply for a credit card with proof of stable income and a certain period of residency in Korea."
Credit & Debit Cards,Can KB Kookmin Bank debit cards be used abroad?,"Yes, KB debit cards can be used abroad, but you may need to register for overseas use before your trip."
Insurance & Pensions,Can foreigners enroll in insurance products at KB Kookmin Bank?,"Yes, foreigners can enroll in various insurance products such as life, health, and travel insurance, depending on the required documents."
Insurance & Pensions,Can foreigners subscribe to pension products at KB Kookmin Bank?,"Yes, foreigners can subscribe to pension products. You need to provide proof of residency and income documentation."
Loan Extensions,Can foreigners apply for loan extensions at KB Kookmin Bank?,"Yes, foreigners can apply for loan extensions. You will need to provide a reason for the extension, income proof, and may undergo a credit evaluation."
Credit Management,How can foreigners manage their credit score in Korea?,"To manage your credit score, make timely payments on loans and credit cards, avoid unnecessary loans, and regularly monitor your credit history."
Bank Account Opening,What documents are required for a foreigner to open a bank account in Korea?,"To open a bank account in Korea, a foreigner typically needs a passport, Alien Registration Card (ARC), and proof of residence in Korea. Some banks may also require visa documents or an employment certificate."
Bank Account Opening,Can a non-resident open a bank account in Korea?,"Non-residents can open a bank account under certain conditions, but generally, the services are limited. To conduct regular financial transactions, a resident status is usually required."
Bank Account Opening,How can I use internet banking or mobile banking?,"After opening a bank account, you can apply for internet banking and mobile banking services at your bank's branch or online. A digital certificate for identity verification is required, and some banks offer multilingual support for foreigners."
Credit Cards and Debit Cards,Can a foreigner get a credit card in Korea?,"To get a credit card in Korea, a foreigner needs a stable income and a credit history. Typically, a foreigner residing in Korea will need to submit an ARC, employment certificate, and proof of income."
Credit Cards and Debit Cards,How do I apply for a debit card?,"After opening a bank account, you can get a debit card linked to your account immediately. A debit card can be issued without a credit history, and a passport and ARC are required."
Credit Cards and Debit Cards,Can I use a card issued overseas in Korea?,"Most credit and debit cards issued overseas can be used in Korea. However, some small merchants may not accept foreign cards, so it is advisable to check before making a payment."
Money Transfer and Currency Exchange,How do I send money abroad?,You can send money abroad through a bank in Korea. The recipient's bank information and SWIFT code are required. Most banks support easy transfers for foreigners.
Money Transfer and Currency Exchange,How can I exchange Korean won to foreign currency?,"You can exchange Korean won to foreign currency at banks or currency exchange offices at airports. Mobile app services are also available, allowing for quicker exchanges if reserved in advance."
Money Transfer and Currency Exchange,What information is needed to receive money from overseas to Korea?,"To receive money from overseas to Korea, you need the recipient's Korean bank account number and the bank's SWIFT code. Some services may also require the recipient's address and contact information."
Taxes and Residency Rules,Do foreigners need to pay income tax in Korea?,"Foreigners who stay in Korea for a certain period and earn income must pay income tax on their earnings in Korea. Residents are taxed on worldwide income, while non-residents are taxed only on Korean-sourced income."
Taxes and Residency Rules,What is the difference between a resident and a non-resident?,"In Korea, anyone who resides for 183 days or more within a year is considered a resident. Residents are taxed on all global income, while non-residents are taxed only on income generated within Korea."
Taxes and Residency Rules,How do I report income tax in Korea?,"Foreigners earning income in Korea must file an annual income tax return in May. The tax return must include all types of income and the amount earned, and the appropriate tax must be paid."
Insurance,Can a foreigner enroll in the National Health Insurance in Korea?,"Yes, foreigners who stay in Korea for more than 6 months must enroll in the National Health Insurance. Employed foreigners are automatically enrolled through their employers, while self-employed or students must enroll individually as regional members."
Insurance,What options are available for travel or health insurance?,"Foreigners can choose from various travel or health insurance options through private insurance companies in Korea. Depending on their needs, they can select comprehensive coverage, accident insurance, and more."
Investment,Can a foreigner invest in stocks or real estate in Korea?,"Yes, foreigners can invest in stocks and real estate in Korea. For stock investments, foreigners must register as foreign investors, and for real estate, they generally follow the same procedures as locals, although there may be some regulations or restrictions."
Investment,What is the procedure to open an investment account?,"To open an investment account for stock trading, a passport and ARC are required. Some securities companies offer dedicated services for foreigners to make the account opening process easier."
Other Financial Services,Can I get a loan in Korea as a foreigner?,"Foreigners can obtain loans in Korea if they have stable income and a credit history in Korea. Typically, mortgage loans or small loans are available to foreigners."
Other Financial Services,What are the major financial apps available for foreigners in Korea?,"There are many financial apps available in Korea that support multiple languages, such as KakaoBank, Toss, and Shinhan Bank's SOL. These apps offer various financial services like account inquiries, transfers, and payments."
Account Opening,What documents are required to open an account?,"To open an account, you need to bring your passport, Alien Registration Card, and proof of residence."
Account Opening,Can a foreigner open an account in Korea?,"Yes, foreigners can open an account by visiting a local bank with the necessary documents."
Account Opening,How long does it take to open an account?,It usually takes between 30 minutes to an hour to open an account.
Money Transfer,How can I transfer money abroad?,"You can transfer money abroad by visiting the bank, using internet banking, or mobile banking."
Money Transfer,What are the fees for transferring money abroad?,"The transfer fees vary depending on the bank and the amount, typically ranging from 5,000 to 20,000 KRW."
Money Transfer,How long does a transfer usually take?,Transfers typically take 1-3 business days to complete.
Internet and Mobile Banking,How do I apply for internet banking?,"To apply for internet banking, visit the bank to complete the application and identification process."
Internet and Mobile Banking,How do I download the bank's mobile app?,"You can download the bank's mobile app from the official app store, install it, and follow the verification process."
Internet and Mobile Banking,Is foreign language support available in internet banking?,"Yes, major banks offer support in multiple languages including English and Chinese."
Card Issuance,How do I apply for a credit card?,"Visit the bank with your ID and income documents, and fill out the application form."
Card Issuance,Can foreigners get a credit card in Korea?,"Yes, foreigners can get a credit card if they meet certain criteria."
Card Issuance,What documents are required for a credit card?,"Required documents include a passport, Alien Registration Card, and proof of income."
Currency Exchange,How do I exchange currency in Korea?,Currency exchange can be done at bank counters or ATMs. You will need to bring your passport and Alien Registration Card.
Currency Exchange,What currencies are available for exchange?,"Most banks offer currency exchange for major currencies like USD, EUR, and JPY."
Currency Exchange,What are the currency exchange fees?,"Currency exchange fees vary by bank, generally around 1-2%."
Bill Payment,How can I set up automatic bill payments?,You can set up automatic bill payments by visiting the bank or through internet banking.
Bill Payment,How can I pay my bills online?,"Log in to internet banking, go to the bill payment section, and follow the instructions."
Account Balance,How do I check my account balance?,"You can check your account balance through internet banking, mobile banking, or ATMs."
Account Balance,How can I view past transactions?,You can view past transactions by selecting the appropriate date range on internet or mobile banking.
Deposit and Accounts,What deposit accounts can foreigners open?,Foreigners can open most deposit accounts. Please check with the bank for specific products.
Deposit and Accounts,Can you explain the interest rates and benefits?,"Interest rates vary by product, and the benefits depend on your residency status and other factors."
Insurance,Are insurance products available for foreigners?,"Yes, insurance products like health and pension plans are available for foreigners."
Insurance,How do I enroll in an insurance plan?,"To enroll, visit a bank or insurance company and consult with an advisor."
Problem Resolution,How do I resolve issues with my account?,Contact the bank's customer service to resolve any issues with your account.
Problem Resolution,How do I reset my account password?,"If you lose your card, contact the bank immediately to freeze the card and request a reissue."
Money Transfer,How much can I send overseas without additional evidence?,"You can send up to US$50,000 overseas in a year without any additional evidence. However, if you wish to send more than US$50,000, you will need to submit a document proving your proper income, such as a paystub."
Savings Products,Is there a way to increase the rate of return on deposits and installment savings?,"Yes, you can increase the rate of return on savings deposits and installment savings by comparing interest rates on the ""Financial products at a glance"" section of FINE, the website of the Financial Supervisory Service. Additionally, if you sign up for a savings product at your primary bank, you may enjoy preferential interest rates. If you urgently need a large sum of money, consider terminating only a portion of the savings product or taking out a deposits and savings mortgage loan rather than terminating the entire savings product unconditionally."
Taxes and Residency Rules,Are there products that offer tax benefits?,"Savings products offered by mutual financial associations provide tax-favored benefits. You can sign up for an Individual Savings Account (ISA) and receive tax breaks on income up to 4 million won. Additionally, if you are over 65 years old, you can join a tax-free savings plan where the interest is not taxed."
Savings Products,How can I purchase an apartment using a housing subscription savings account?,"To purchase an apartment, you must open and maintain a housing subscription savings account for a certain period of time. If you are part of a multicultural family and have lived with your spouse at the same address for over 9 years, you may be eligible for priority allocation of an apartment without the need for bidding."
Savings Products,Is my deposit safely protected?,"Deposits are protected up to 50 million won, including both principal and interest, even if the bank goes bankrupt. If your deposit amount is large, it is advisable to spread your money across several banks for added security."
Other Financial Services,What should I do if I don't have time to visit the bank?,"You can use banking services through ATMs, internet banking, and mobile banking. These options allow you to perform tasks like withdrawals, deposits, account-checks, money transfers, and more without visiting the bank."
Other Financial Services,Can I use banking services if I don't speak Korean?,"Yes, interpretation services are available in some bank branches in areas with many foreign residents. Additionally, most major banks offer call centers with foreign language speakers."
Payments,How can I pay my utility bills?,"You can pay utility bills in various ways, such as through internet banking, mobile banking, ATMs, automatic withdrawal services, or by visiting a bank or post office."
Cards,How should I keep my payment card PIN secure?,"Keep the PIN for your payment card to yourself and do not disclose it to another person. Avoid using easily identifiable numbers like your birth date, automobile license plate number, or phone number for your PIN."
Cards,Why should I check my account balance before using a check card?,"Unlike credit cards, check cards deduct money from your bank account immediately after making a purchase. Always ensure you have sufficient balance in your account before using a check card."
Cards,What happens if I don¡¯t pay my credit card bills on time?,"If you miss the payment date, your default record will be kept by the financial company, which may negatively affect your future financial activities such as getting loans."
Cards,What should I do if I lose my card?,"If you lose your card, you should report it immediately to the card company or bank to cancel the card and prevent unauthorized use. If unauthorized charges are made before you report the loss, the card company may still compensate you for charges made up to 60 days prior."
Cards,Why is it important to sign on the back of my card?,"Signing the back of your card is necessary to validate it. If the card is not signed and lost, you may be held liable for any charges made before reporting the loss."
Cards,Can I lend my card to someone else?,"No, you should not lend your card to others. You may be held responsible for any damages that occur if the card is lost or misused after being lent out."
Government Vouchers,How can I check the type of government voucher and eligibility?,"Foreign residents may be eligible for financial assistance for hospital expenses related to prenatal care, delivery, and post-natal care if they are registered as a member or dependent of a member of the national health insurance plan. To check eligibility and apply, visit the Community Service Center in your jurisdiction or access the ¡°Find a voucher that suits you¡± page on the National Happiness Card website (www.voucher.go.kr)."
Government Vouchers,How can I apply for the National Happiness Card?,"To use the government voucher, you must first receive the National Happiness Card. You can apply for the card at branches of nearby banks, post offices, or credit companies (like BC, Lotte, KB Kookmin, Shinhan Cards), or through the website of financial companies and their call centers."
Local Cards,What benefits can I get by using a local card?,"By using a local card, you can enjoy discounts or cashback services ranging from 5% to 30% of the amount spent, funded by the local government budget. However, you should check the benefits related to the local currency used by the local government or visit a bank contracted with the local government to apply for a card."
Health Insurance,Why should I sign up for mandatory health insurance and pay the premium?,"Those enrolled in the public health insurance plan can receive financial support from the government for their medical expenses. If you get seriously ill without enrolling in the National Health Insurance, you may not afford the hospital bills. Foreign residents who have lived in Korea for six months or longer can enroll even if they are not employed, so it's important to sign up as soon as possible."
Health Insurance,What should I consider when choosing my insurance plan?,"It's important to consider your income when selecting an insurance plan. Guarantee-type insurance is crucial for preparing for future adversity, but you need to choose a plan that you can continuously maintain to avoid incurring losses from early termination."
Health Insurance,Should I sign up for an insurance plan that others recommend?,"You should carefully consider whether the insurance plan overlaps with other products you already have and whether it includes the coverage you need. Avoid policies with redundant coverage, and be aware that terminating insurance before its maturity may result in losing part of the premium you paid."
Exchange Rates,How can I check exchange rates?,"You can find information on exchange rates by searching on the internet, visiting internet banking websites, or going directly to your bank."
Exchange Rates,How can I exchange money with preferential benefits?,"You can exchange money by visiting your bank. If you plan to exchange large sums of money or buy a currency other than US dollars, it¡¯s advisable to ask your bank in advance. Internet banking usually offers more favorable exchange rates."
Remittances,How can I save on remittance fees?,"When sending money abroad, you pay fees not only to your bank but also to the foreign bank intermediary and the recipient's bank. Fees usually range between 5,000 and 30,000 won. Using internet banking or mobile banking to send remittances can reduce these fees. Also, exchanging currency at your primary bank may offer preferential rates."
Remittances,How much money can I send overseas without additional proof?,"You can send up to US$50,000 a year without any additional proof after designating a foreign exchange bank for transactions and registering your customer information for foreign exchange. If you wish to send more than US$50,000, you will need to submit a document proving your income, such as a paystub."
Financial Scams,What are financial scams and how can I avoid them?,"Financial scams involving smartphones and the internet are on the rise, with increasingly sophisticated methods being used. Immigrants and those unfamiliar with the local system are particularly vulnerable. It's important to learn about these scams and how to avoid them to protect yourself."
Financial Scams,Why should I not disclose my personal information to anyone?,"You should never share your personal information with anyone. Scammers often pose as officials or potential employers to obtain sensitive information. It's crucial to protect your details, especially if you're seeking a job, as foreign job seekers are common targets for fraud."
Financial Scams,What should I do if I fall victim to a financial scam?,"If you fall victim to a financial scam, immediately contact the police (112) or your financial company to suspend any payments. You can also reach out to the Financial Supervisory Service (FSS) at 1332 for additional assistance."
Financial Scams,Is it legal to lend my bankbook to another person?,"It is illegal to buy, sell, or lend your bankbook to others. Those who want others¡¯ bankbooks usually intend to use them for illegal activities. Lending your bankbook can result in criminal charges and financial disadvantages."
Bankbooks,What should I do if someone demands an unusually high payment?,"Be cautious if someone demands a high sum of money and threatens legal action, as this can be a sign of a scam. If you are suspicious of insurance fraud or other scams, you should seek legal advice immediately."
